epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,906.183,5.12672,0.0137,0.04981,5.07575,1.95688e-05,1.95688e-05,1.95688e-05
2,3288,5.01957,0.03985,0.1345,4.92274,3.84586e-05,3.84586e-05,3.84586e-05
3,7173.19,4.85435,0.12951,0.32254,4.68811,5.65696e-05,5.65696e-05,5.65696e-05
4,8775.71,4.60647,0.22291,0.48817,4.32671,5.54954e-05,5.54954e-05,5.54954e-05
5,12966.4,4.28474,0.29016,0.59029,3.9002,5.43272e-05,5.43272e-05,5.43272e-05
6,18731.2,3.9514,0.32503,0.65006,3.43826,5.3159e-05,5.3159e-05,5.3159e-05
7,19386.8,3.63054,0.36115,0.69116,3.16082,5.19908e-05,5.19908e-05,5.19908e-05
8,20335.8,3.36194,0.38356,0.72354,2.92562,5.08226e-05,5.08226e-05,5.08226e-05
9,21276.8,3.11848,0.39352,0.76214,2.70149,4.96544e-05,4.96544e-05,4.96544e-05
10,22218.7,2.91842,0.42839,0.78207,2.51494,4.84862e-05,4.84862e-05,4.84862e-05
11,22949.8,2.74864,0.43462,0.80448,2.33701,4.7318e-05,4.7318e-05,4.7318e-05
12,23869.4,2.56459,0.41594,0.81569,2.22093,4.61498e-05,4.61498e-05,4.61498e-05
13,24422.7,2.42081,0.43088,0.82939,2.15496,4.49816e-05,4.49816e-05,4.49816e-05
14,25390,2.31247,0.43836,0.84433,2.00483,4.38134e-05,4.38134e-05,4.38134e-05
15,26333.5,2.2072,0.44956,0.84807,1.92481,4.26452e-05,4.26452e-05,4.26452e-05
16,27257.4,2.08759,0.45579,0.85181,1.81707,4.1477e-05,4.1477e-05,4.1477e-05
17,27780.4,2.0156,0.47198,0.85803,1.78413,4.03088e-05,4.03088e-05,4.03088e-05
18,28244.2,1.95761,0.47323,0.85928,1.75843,3.91406e-05,3.91406e-05,3.91406e-05
19,28707.2,1.87528,0.45828,0.85803,1.7297,3.79724e-05,3.79724e-05,3.79724e-05
20,29368.8,1.82519,0.48194,0.86924,1.62934,3.68042e-05,3.68042e-05,3.68042e-05
21,31779,1.74476,0.47696,0.868,1.60183,3.5636e-05,3.5636e-05,3.5636e-05
22,639.234,1.68659,0.47323,0.86426,1.58153,3.44678e-05,3.44678e-05,3.44678e-05
23,1123.47,1.63993,0.47198,0.86924,1.54739,3.32996e-05,3.32996e-05,3.32996e-05
24,1592.62,1.57798,0.47572,0.87422,1.59942,3.21314e-05,3.21314e-05,3.21314e-05
25,2056.49,1.54058,0.48319,0.88169,1.55492,3.09632e-05,3.09632e-05,3.09632e-05
26,2532.31,1.505,0.47945,0.87796,1.52281,2.9795e-05,2.9795e-05,2.9795e-05
27,3307.64,1.4791,0.47945,0.88418,1.455,2.86268e-05,2.86268e-05,2.86268e-05
28,4238.22,1.44013,0.47945,0.8792,1.4419,2.74586e-05,2.74586e-05,2.74586e-05
29,5368.27,1.40973,0.48817,0.88543,1.45358,2.62904e-05,2.62904e-05,2.62904e-05
30,6014.98,1.37991,0.48568,0.88667,1.46843,2.51222e-05,2.51222e-05,2.51222e-05
31,6645.17,1.36013,0.47821,0.88667,1.43225,2.3954e-05,2.3954e-05,2.3954e-05
32,7240.84,1.35092,0.48319,0.89166,1.40803,2.27858e-05,2.27858e-05,2.27858e-05
33,7820.29,1.30566,0.48568,0.88917,1.47166,2.16176e-05,2.16176e-05,2.16176e-05
34,8438.6,1.27871,0.49066,0.89415,1.44811,2.04494e-05,2.04494e-05,2.04494e-05
35,9059.22,1.27962,0.4807,0.89041,1.39047,1.92812e-05,1.92812e-05,1.92812e-05
36,9687.44,1.25697,0.4807,0.8929,1.40144,1.8113e-05,1.8113e-05,1.8113e-05
37,10294.4,1.23263,0.4807,0.8929,1.375,1.69448e-05,1.69448e-05,1.69448e-05
38,10926.6,1.23403,0.48568,0.89415,1.37242,1.57766e-05,1.57766e-05,1.57766e-05
39,645.813,1.2095,0.49066,0.89415,1.36616,1.46084e-05,1.46084e-05,1.46084e-05
40,1165.43,1.1994,0.47945,0.89539,1.36406,1.34402e-05,1.34402e-05,1.34402e-05
41,2042.8,1.24497,0.4944,0.90162,1.42083,1.2272e-05,1.2272e-05,1.2272e-05
42,2569.86,1.22894,0.49066,0.89664,1.40985,1.11038e-05,1.11038e-05,1.11038e-05
43,3083.77,1.23026,0.48817,0.89913,1.38716,9.9356e-06,9.9356e-06,9.9356e-06
44,3641.46,1.2263,0.49066,0.90162,1.33812,8.7674e-06,8.7674e-06,8.7674e-06
45,4453.5,1.20498,0.49813,0.89913,1.31988,7.5992e-06,7.5992e-06,7.5992e-06
46,477.537,1.13017,0.48817,0.89664,1.34266,6.431e-06,6.431e-06,6.431e-06
47,933.934,1.12832,0.48692,0.89913,1.34598,5.2628e-06,5.2628e-06,5.2628e-06
48,1556.9,1.12807,0.4944,0.90411,1.41579,4.0946e-06,4.0946e-06,4.0946e-06
49,2106.63,1.12632,0.49066,0.90286,1.39041,2.9264e-06,2.9264e-06,2.9264e-06
50,2631.9,1.12692,0.48817,0.90286,1.3762,1.7582e-06,1.7582e-06,1.7582e-06
